experiment	donor_genome	recipient_genome	result_genome	pan_dir
experiment_1	14229-5	6461	6461x14229-5	14229-5_6461_6461x14229-5
experiment_2	14229-5	6461	SampleA	14229-5_6461_SampleA
experiment_3	14229-5	6461	SampleB	14229-5_6461_SampleB
experiment_4	14229-5	6461	SampleC	14229-5_6461_SampleC
experiment_5	14229-5	6461	SampleE	14229-5_6461_SampleE
experiment_6	14229-5	6461	SampleF	14229-5_6461_SampleF
experiment_7	14229-5	6461	SampleG	14229-5_6461_SampleG
experiment_8	14229-5	6461	SampleH	14229-5_6461_SampleH
experiment_9	14229-5	6461	SampleI	14229-5_6461_SampleI
experiment_10	14229-5	6461	SampleJ	14229-5_6461_SampleJ
experiment_11	6067	6461	6461x6067	6067_6461_6461x6067
experiment_12	6461	13150	6461x13150	6461_13150_6461x13150
experiment_13	6461	13150	6461x13150exp137	6461_13150_6461x13150exp137
experiment_14	6631	11601MD	11601MDx6631	6631_11601MD_11601MDx6631
experiment_15	6631	13150	13150x6631	6631_13150_13150x6631
experiment_16	JCC	13150	13150xJCC	JCC_13150_13150xJCC
